RESPNO Urban/Rural "Views on Country's Economic Condition" "Discuss Politics?" Voted? Corruption Education
294 Urban "Fairly bad" Never "You decided not to vote" "Increased a lot" "Post-secondary qualifications, other than university" 
295 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "University completed" 
296 Urban "Very bad" Frequently "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
297 Urban "Fairly Good" Never "You were not registered to vote" "Increased somewhat" "Secondary school / high school completed" 
298 Urban "Fairly bad" Frequently "You were too young to vote" "Increased somewhat" "Secondary school / high school completed" 
299 Urban "Fairly bad" Frequently "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
300 Urban "Very bad" Occasionally "You decided not to vote" "Increased a lot" "Secondary school / high school completed" 
301 "Rural farm" "Fairly bad" Never "You voted in the elections" "Increased a lot" "Some primary schooling" 
302 "Rural farm" "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Inside the house"       
303 "Rural farm" "Very bad" Never "You voted in the elections" "Increased a lot" "Primary school completed" 
304 "Rural farm" "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Primary school completed" 
305 Urban "Fairly Good" Never "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
306 Urban "Very bad" Never "You decided not to vote" "Increased somewhat" "Some university" 
307 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
308 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased somewhat" "Some secondary school / high school" 
309 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased somewhat" "Inside the house"       
310 Urban "Very bad" Occasionally "You did not have time to vote" "Stayed the same" "Post-secondary qualifications, other than university" 
311 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "University completed" 
312 Urban "Fairly bad" Occasionally "You were not registered to vote" "Increased a lot" "Secondary school / high school completed" 
313 Urban "Neither good nor bad" Frequently "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
314 Urban "Fairly bad" Occasionally "You were not registered to vote" "Increased a lot" "Some university" 
315 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
316 Urban "Fairly bad" Never "You decided not to vote" "Increased a lot" "Some secondary school / high school" 
317 Urban "Very good" Never "You voted in the elections" "Increased a lot" "Some university" 
318 Urban "Very good" Occasionally "Don't Know / Can't remember" "Increased somewhat" "Secondary school / high school completed" 
319 Urban "Very bad" Occasionally "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
320 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased somewhat" "Inside the house"       
321 Urban "Very bad" Frequently "You voted in the elections" "Increased somewhat" "Post-secondary qualifications, other than university" 
322 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Inside the house"       
323 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
324 Urban "Fairly Good" Occasionally "You decided not to vote" "Decreased a lot" "University completed" 
325 Urban "Very good" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
326 Urban "Very bad" Occasionally "You voted in the elections" "Decreased a lot" "Secondary school / high school completed" 
327 Urban "Neither good nor bad" Never "You voted in the elections" "Increased a lot" "Some primary schooling" 
328 Urban "Fairly Good" Frequently "You decided not to vote" "Increased a lot" "Primary school completed" 
329 Urban "Fairly Good" Never "You voted in the elections" "Stayed the same" Post-graduate 
330 Urban "Fairly bad" Frequently "You were too young to vote" "Increased a lot" "Secondary school / high school completed" 
331 Urban "Very bad" Never "You voted in the elections" "Stayed the same" "Some secondary school / high school" 
332 Urban "Fairly Good" Never "You decided not to vote" "Stayed the same" "Secondary school / high school completed" 
333 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
334 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
335 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
336 Urban "Fairly bad" Never "You were too young to vote" "Increased somewhat" "Secondary school / high school completed" 
337 Urban "Fairly Good" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
338 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
339 Urban "Very good" Frequently "You did not have time to vote" "Increased a lot" "Some secondary school / high school" 
340 Urban "Fairly Good" Frequently "You voted in the elections" "Increased a lot" Post-graduate 
341 Urban "Very bad" Occasionally "You did not have time to vote" "Increased a lot" "Secondary school / high school completed" 
342 Urban "Fairly Good" Frequently "You voted in the elections" "Stayed the same" "Some secondary school / high school" 
343 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
344 Urban "Fairly Good" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
345 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
346 Urban "Fairly Good" Never "You voted in the elections" "Increased a lot" "No formal schooling" 
347 Urban "Fairly bad" Never "You voted in the elections" "Stayed the same" "Post-secondary qualifications, other than university" 
348 Urban "Fairly bad" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
349 Urban "Neither good nor bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
350 Urban "Fairly Good" Never "Did not vote for some other reason" "Stayed the same" "Secondary school / high school completed" 
351 Urban "Fairly bad" Never "You voted in the elections" "Stayed the same" "Some secondary school / high school" 
352 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
353 Urban "Fairly Good" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
354 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
355 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "No formal schooling" 
356 Urban "Fairly Good" Frequently "You voted in the elections" "Increased somewhat" "Secondary school / high school completed" 
357 Urban "Fairly bad" Occasionally "Did not vote for some other reason" "Increased a lot" "Secondary school / high school completed" 
358 Urban "Fairly Good" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
359 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
360 Urban "Very bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
361 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
362 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
363 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
364 Urban "Very bad" Occasionally "Did not vote for some other reason" "Increased a lot" "University completed" 
365 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Post-secondary qualifications, other than university" 
366 Urban "Very bad" Never "You voted in the elections" "Increased a lot" "Secondary school / high school completed" 
367 Urban "Very bad" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
368 Urban "Fairly Good" Frequently "You voted in the elections" "Increased a lot" "Some secondary school / high school" 
369 Urban "Fairly bad" Occasionally "You voted in the elections" "Increased a lot" "Some university" 
370 Urban "Neither good nor bad" Occasionally "Did not vote for some other reason" "Increased a lot" "Secondary school / high school completed" 
